"sample_id","sample_id_metaphlan","study_readable","species","gender","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRR8452395","reSRR8452395","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452396","reSRR8452396","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452397","reSRR8452397","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452398","reSRR8452398","Wang et al.","dog","Male",NA,NA,"No","No","Public","Household"
"SRR8452399","reSRR8452399","Wang et al.","dog","Male",NA,NA,"No","No","Public","Household"
"SRR8452400","reSRR8452400","Wang et al.","dog","Male",NA,NA,"No","No","Public","Household"
"SRR8452401","reSRR8452401","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452402","reSRR8452402","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452403","reSRR8452403","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452404","reSRR8452404","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452405","reSRR8452405","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452406","reSRR8452406","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452407","reSRR8452407","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"SRR8452408","reSRR8452408","Wang et al.","dog",NA,NA,NA,"No","No","Public","Household"
"ERR4183438","reERR4183438","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183439","reERR4183439","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183440","reERR4183440","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183441","reERR4183441","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183442","reERR4183442","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183443","reERR4183443","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183444","reERR4183444","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183445","reERR4183445","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183446","reERR4183446","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183447","reERR4183447","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183448","reERR4183448","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183449","reERR4183449","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183450","reERR4183450","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183451","reERR4183451","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183452","ERR4183452","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183454","reERR4183454","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183455","reERR4183455","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183456","reERR4183456","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183457","ERR4183457","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183459","reERR4183459","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183460","reERR4183460","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183461","reERR4183461","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183462","reERR4183462","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183463","reERR4183463","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183464","reERR4183464","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183465","reERR4183465","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183466","reERR4183466","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183467","reERR4183467","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183468","ERR4183468","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183470","reERR4183470","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183471","ERR4183471","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183473","reERR4183473","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183474","reERR4183474","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183475","ERR4183475","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183477","reERR4183477","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183478","ERR4183478","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183480","ERR4183480","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183482","ERR4183482","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183484","ERR4183484","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183486","ERR4183486","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183488","ERR4183488","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183490","reERR4183490","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183491","ERR4183491","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183493","ERR4183493","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183495","ERR4183495","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183497","reERR4183497","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183498","reERR4183498","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"ERR4183499","reERR4183499","Allaway et al.","dog","female",1,NA,NA,NA,"Public","Facility"
"SRR12454883","reSRR12454883","Ateba et al.","dog",NA,NA,NA,NA,NA,"Public","Facility"
"F-50190384-002S_HPN1875_S219","F-50190384-002S_HPN1875_S219","DietInt Study1","dog","Female",13.5,8.9,"No","Yes","Hill's","Facility"
"F-50190386-002S_HPN1875_S209","F-50190386-002S_HPN1875_S209","DietInt Study1","dog","Male",11.91,9.3,"No","Yes","Hill's","Facility"
"F-50190388-002S_HPN1875_S205","F-50190388-002S_HPN1875_S205","DietInt Study1","dog","Male",10.15,10.7,"No","Yes","Hill's","Facility"
"F-50190390-002S_HPN1875_S216","F-50190390-002S_HPN1875_S216","DietInt Study1","dog","Female",6.02,9.4,"No","Yes","Hill's","Facility"
"F-50190392-002S_HPN1875_S185","F-50190392-002S_HPN1875_S185","DietInt Study1","dog","Male",10.95,14.7,"No","Yes","Hill's","Facility"
"F-50190394-002S_HPN1875_S186","F-50190394-002S_HPN1875_S186","DietInt Study1","dog","Female",13.49,8.6,"Yes","Yes","Hill's","Facility"
"F-50190396-002S_HPN1875_S195","F-50190396-002S_HPN1875_S195","DietInt Study1","dog","Male",6.39,11.1,"No","Yes","Hill's","Facility"
"F-50190398-002S_HPN1875_S201","F-50190398-002S_HPN1875_S201","DietInt Study1","dog","Male",8.66,14.1,"No","Yes","Hill's","Facility"
"F-50190400-002S_HPN1875_S199","F-50190400-002S_HPN1875_S199","DietInt Study1","dog","Female",13.48,9.8,"No","Yes","Hill's","Facility"
"F-50190403-002S_HPN1875_S193","F-50190403-002S_HPN1875_S193","DietInt Study1","dog","Female",11.15,8.9,"No","Yes","Hill's","Facility"
"F-50190405-002S_HPN1875_S202","F-50190405-002S_HPN1875_S202","DietInt Study1","dog","Female",13.29,9.1,"No","Yes","Hill's","Facility"
"F-50190407-002S_HPN1875_S206","F-50190407-002S_HPN1875_S206","DietInt Study1","dog","Male",5.89,13.9,"No","Yes","Hill's","Facility"
"F-50190409-002S_HPN1875_S213","F-50190409-002S_HPN1875_S213","DietInt Study1","dog","Male",8.84,12.3,"No","Yes","Hill's","Facility"
"F-50190411-002S_HPN1875_S211","F-50190411-002S_HPN1875_S211","DietInt Study1","dog","Male",13.5,11.3,"No","Yes","Hill's","Facility"
"F-50190413-002S_HPN1875_S200","F-50190413-002S_HPN1875_S200","DietInt Study1","dog","Male",6.05,11,"No","Yes","Hill's","Facility"
"F-50190415-002S_HPN1875_S194","F-50190415-002S_HPN1875_S194","DietInt Study1","dog","Male",4.9,11.2,"No","Yes","Hill's","Facility"
"F-50190417-002S_HPN1875_S212","F-50190417-002S_HPN1875_S212","DietInt Study1","dog","Male",8.6,14.6,"No","Yes","Hill's","Facility"
"F-50190419-002S_HPN1875_S215","F-50190419-002S_HPN1875_S215","DietInt Study1","dog","Male",8.85,10.2,"No","Yes","Hill's","Facility"
"F-50190421-002S_HPN1875_S187","F-50190421-002S_HPN1875_S187","DietInt Study1","dog","Male",15.44,13.1,"No","Yes","Hill's","Facility"
"F-50190423-002S_HPN1875_S203","F-50190423-002S_HPN1875_S203","DietInt Study1","dog","Male",13.49,10,"No","Yes","Hill's","Facility"
"F-50190427-002S_HPN1875_S214","F-50190427-002S_HPN1875_S214","DietInt Study1","dog","Male",15.45,12.02,"No","Yes","Hill's","Facility"
"F-50190429-002S_HPN1875_S190","F-50190429-002S_HPN1875_S190","DietInt Study1","dog","Male",8.85,9.7,"No","Yes","Hill's","Facility"
"F-50190431-002S_HPN1875_S191","F-50190431-002S_HPN1875_S191","DietInt Study1","dog","Female",11,10.8,"No","Yes","Hill's","Facility"
"F-50190433-002S_HPN1875_S207","F-50190433-002S_HPN1875_S207","DietInt Study1","dog","Male",10.21,11.9,"No","Yes","Hill's","Facility"
"F-50190435-002S_HPN1875_S197","F-50190435-002S_HPN1875_S197","DietInt Study1","dog","Male",8.86,10.5,"No","Yes","Hill's","Facility"
"F-50190438-002S_HPN1875_S222","F-50190438-002S_HPN1875_S222","DietInt Study1","dog","Male",11.05,14.2,"No","Yes","Hill's","Facility"
"F-50190442-002S_HPN1875_S223","F-50190442-002S_HPN1875_S223","DietInt Study1","dog","Female",13.59,8.9,"No","Yes","Hill's","Facility"
"F-50190446-002S_HPN1875_S236","F-50190446-002S_HPN1875_S236","DietInt Study1","dog","Female",13.58,9.7,"No","Yes","Hill's","Facility"
"F-50190450-002S_HPN1875_S245","F-50190450-002S_HPN1875_S245","DietInt Study1","dog","Male",12.01,9.1,"No","Yes","Hill's","Facility"
"F-50190454-002S_HPN1875_S241","F-50190454-002S_HPN1875_S241","DietInt Study1","dog","Male",10.24,10.6,"No","Yes","Hill's","Facility"
"F-50190458-002S_HPN1875_S252","F-50190458-002S_HPN1875_S252","DietInt Study1","dog","Female",6.11,9.7,"No","Yes","Hill's","Facility"
"F-50190462-002S_HPN1875_S231","F-50190462-002S_HPN1875_S231","DietInt Study1","dog","Male",4.99,10.9,"No","Yes","Hill's","Facility"
"F-50190466-002S_HPN1875_S248","F-50190466-002S_HPN1875_S248","DietInt Study1","dog","Male",8.7,14.6,"No","Yes","Hill's","Facility"
"F-50190470-002S_HPN1875_S255","F-50190470-002S_HPN1875_S255","DietInt Study1","dog","Female",13.6,8.4,"No","Yes","Hill's","Facility"
"F-50190474-002S_HPN1875_S249","F-50190474-002S_HPN1875_S249","DietInt Study1","dog","Male",8.93,12.4,"No","Yes","Hill's","Facility"
"F-50190478-002S_HPN1875_S247","F-50190478-002S_HPN1875_S247","DietInt Study1","dog","Male",13.59,11.4,"No","Yes","Hill's","Facility"
"F-50190482-002S_HPN1875_S237","F-50190482-002S_HPN1875_S237","DietInt Study1","dog","Male",6.15,10.7,"No","Yes","Hill's","Facility"
"F-50190486-002S_HPN1875_S230","F-50190486-002S_HPN1875_S230","DietInt Study1","dog","Female",11.25,8.9,"No","Yes","Hill's","Facility"
"F-50190490-002S_HPN1875_S239","F-50190490-002S_HPN1875_S239","DietInt Study1","dog","Female",13.39,9,"No","Yes","Hill's","Facility"
"F-50190494-002S_HPN1875_S242","F-50190494-002S_HPN1875_S242","DietInt Study1","dog","Male",5.98,13.9,"No","Yes","Hill's","Facility"
"F-50190498-002S_HPN1875_S228","F-50190498-002S_HPN1875_S228","DietInt Study1","dog","Female",11.09,10.5,"No","Yes","Hill's","Facility"
"F-50190502-002S_HPN1875_S243","F-50190502-002S_HPN1875_S243","DietInt Study1","dog","Male",10.31,11.3,"No","Yes","Hill's","Facility"
"F-50190506-002S_HPN1875_S234","F-50190506-002S_HPN1875_S234","DietInt Study1","dog","Male",8.96,10.7,"No","Yes","Hill's","Facility"
"F-50190510-002S_HPN1875_S256","F-50190510-002S_HPN1875_S256","DietInt Study1","dog","Female",13.6,8.1,"No","Yes","Hill's","Facility"
"F-50190514-002S_HPN1875_S250","F-50190514-002S_HPN1875_S250","DietInt Study1","dog","Male",15.54,11.5,"No","Yes","Hill's","Facility"
"F-50190518-002S_HPN1875_S227","F-50190518-002S_HPN1875_S227","DietInt Study1","dog","Male",8.94,9.6,"No","Yes","Hill's","Facility"
"F-50190522-002S_HPN1875_S251","F-50190522-002S_HPN1875_S251","DietInt Study1","dog","Male",8.94,11.1,"No","Yes","Hill's","Facility"
"F-50190526-002S_HPN1875_S226","F-50190526-002S_HPN1875_S226","DietInt Study1","dog","Male",6.07,14.9,"No","Yes","Hill's","Facility"
"F-50190533-002S_HPN1875_S254","F-50190533-002S_HPN1875_S254","DietInt Study1","dog","Male",8.1,10.6,"No","Yes","Hill's","Facility"
"F-50190537-002S_HPN1875_S244","F-50190537-002S_HPN1875_S244","DietInt Study1","dog","Male",9.9,11.5,"No","Yes","Hill's","Facility"
"F-50190541-002S_HPN1875_S225","F-50190541-002S_HPN1875_S225","DietInt Study1","dog","Male",15.54,13,"No","Yes","Hill's","Facility"
"F-50190543-002S_HPN1875_S224","F-50190543-002S_HPN1875_S224","DietInt Study1","dog","Female",4.99,8.9,"No","Yes","Hill's","Facility"
"F-50190547-002S_HPN1875_S235","F-50190547-002S_HPN1875_S235","DietInt Study1","dog","Male",4.99,12.1,"No","Yes","Hill's","Facility"
"F-50190551-002S_HPN1875_S258","F-50190551-002S_HPN1875_S258","DietInt Study1","dog","Female",5.07,9.2,"No","Yes","Hill's","Facility"
"F-50190554-002S_HPN1875_S240","F-50190554-002S_HPN1875_S240","DietInt Study1","dog","Female",13.38,9.8,"No","Yes","Hill's","Facility"
"F-50190558-002S_HPN1875_S253","F-50190558-002S_HPN1875_S253","DietInt Study1","dog","Male",8.1,10.7,"No","Yes","Hill's","Facility"
"F-50190562-002S_HPN1875_S257","F-50190562-002S_HPN1875_S257","DietInt Study1","dog","Female",8.93,8.5,"No","Yes","Hill's","Facility"
"F-50190566-002S_HPN1875_S246","F-50190566-002S_HPN1875_S246","DietInt Study1","dog","Male",10.09,8.8,"No","Yes","Hill's","Facility"
"F-50190570-002S_HPN1875_S233","F-50190570-002S_HPN1875_S233","DietInt Study1","dog","Male",4.99,10.4,"No","Yes","Hill's","Facility"
"F-50190574-002S_HPN1875_S229","F-50190574-002S_HPN1875_S229","DietInt Study1","dog","Male",8.93,14.2,"No","Yes","Hill's","Facility"
"F-50190578-002S_HPN1875_S218","F-50190578-002S_HPN1875_S218","DietInt Study1","dog","Male",8.01,11.3,"No","Yes","Hill's","Facility"
"F-50190580-002S_HPN1875_S208","F-50190580-002S_HPN1875_S208","DietInt Study1","dog","Male",9.81,12.2,"No","Yes","Hill's","Facility"
"F-50190582-002S_HPN1875_S189","F-50190582-002S_HPN1875_S189","DietInt Study1","dog","Male",5.97,14.3,"No","Yes","Hill's","Facility"
"F-50190584-002S_HPN1875_S238","F-50190584-002S_HPN1875_S238","DietInt Study1","dog","Male",8.75,13.9,"No","Yes","Hill's","Facility"
"F-50190588-002S_HPN1875_S232","F-50190588-002S_HPN1875_S232","DietInt Study1","dog","Male",6.49,10.6,"No","Yes","Hill's","Facility"
"F-50190592-002S_HPN1875_S210","F-50190592-002S_HPN1875_S210","DietInt Study1","dog","Male",9.99,8.8,"No","Yes","Hill's","Facility"
"F-50190594-002S_HPN1875_S196","F-50190594-002S_HPN1875_S196","DietInt Study1","dog","Male",4.9,10.7,"No","Yes","Hill's","Facility"
"F-50190596-002S_HPN1875_S192","F-50190596-002S_HPN1875_S192","DietInt Study1","dog","Male",8.84,14.3,"No","Yes","Hill's","Facility"
"F-50190598-002S_HPN1875_S204","F-50190598-002S_HPN1875_S204","DietInt Study1","dog","Female",13.28,9.9,"No","Yes","Hill's","Facility"
"F-50190600-002S_HPN1875_S217","F-50190600-002S_HPN1875_S217","DietInt Study1","dog","Male",8.01,11.3,"No","Yes","Hill's","Facility"
"F-50190602-002S_HPN1875_S220","F-50190602-002S_HPN1875_S220","DietInt Study1","dog","Female",8.84,8.5,"No","Yes","Hill's","Facility"
"F-50190604-002S_HPN1875_S188","F-50190604-002S_HPN1875_S188","DietInt Study1","dog","Female",4.9,8.9,"No","Yes","Hill's","Facility"
"F-50190606-002S_HPN1875_S198","F-50190606-002S_HPN1875_S198","DietInt Study1","dog","Male",4.9,11.7,"No","Yes","Hill's","Facility"
"F-50190608-002S_HPN1875_S221","F-50190608-002S_HPN1875_S221","DietInt Study1","dog","Female",4.97,9.6,"No","Yes","Hill's","Facility"
"F-50190817-005S_HPN1875_S406","F-50190817-005S_HPN1875_S406","DietInt Study1","cat","Male",5.96,5.21,"No","Yes","Hill's","Facility"
"F-50190819-005S_HPN1875_S438","F-50190819-005S_HPN1875_S438","DietInt Study1","cat","Male",6.06,5.36,"No","Yes","Hill's","Facility"
"F-50190821-005S_HPN1875_S405","F-50190821-005S_HPN1875_S405","DietInt Study1","cat","Female",11.74,3.1,"No","Yes","Hill's","Facility"
"F-50190823-005S_HPN1875_S437","F-50190823-005S_HPN1875_S437","DietInt Study1","cat","Female",11.83,3.35,"No","Yes","Hill's","Facility"
"F-50190825-005S_HPN1875_S393","F-50190825-005S_HPN1875_S393","DietInt Study1","cat","Female",4.44,4.24,"No","Yes","Hill's","Facility"
"F-50190827-005S_HPN1875_S425","F-50190827-005S_HPN1875_S425","DietInt Study1","cat","Female",4.54,4.33,"No","Yes","Hill's","Facility"
"F-50190828-005S_HPN1875_S404","F-50190828-005S_HPN1875_S404","DietInt Study1","cat","Female",10.24,4.06,"No","Yes","Hill's","Facility"
"F-50190830-005S_HPN1875_S436","F-50190830-005S_HPN1875_S436","DietInt Study1","cat","Female",10.33,4.28,"No","Yes","Hill's","Facility"
"F-50190832-005S_HPN1875_S411","F-50190832-005S_HPN1875_S411","DietInt Study1","cat","Female",8.92,4.26,"No","Yes","Hill's","Facility"
"F-50190834-005S_HPN1875_S443","F-50190834-005S_HPN1875_S443","DietInt Study1","cat","Female",9.02,4.25,"No","Yes","Hill's","Facility"
"F-50190840-005S_HPN1875_S403","F-50190840-005S_HPN1875_S403","DietInt Study1","cat","Male",4.47,7.38,"No","Yes","Hill's","Facility"
"F-50190842-005S_HPN1875_S435","F-50190842-005S_HPN1875_S435","DietInt Study1","cat","Male",4.56,7.4,"No","Yes","Hill's","Facility"
"F-50190844-005S_HPN1875_S408","F-50190844-005S_HPN1875_S408","DietInt Study1","cat","Male",8.79,5.95,"No","Yes","Hill's","Facility"
"F-50190846-005S_HPN1875_S440","F-50190846-005S_HPN1875_S440","DietInt Study1","cat","Male",8.89,6.3,"No","Yes","Hill's","Facility"
"F-50190848-005S_HPN1875_S409","F-50190848-005S_HPN1875_S409","DietInt Study1","cat","Male",10.93,6.86,"No","Yes","Hill's","Facility"
"F-50190850-005S_HPN1875_S441","F-50190850-005S_HPN1875_S441","DietInt Study1","cat","Male",11.02,6.87,"No","Yes","Hill's","Facility"
"F-50190854-005S_HPN1875_S429","F-50190854-005S_HPN1875_S429","DietInt Study1","cat","Female",13.95,4.56,"No","Yes","Hill's","Facility"
"F-50190856-005S_HPN1875_S394","F-50190856-005S_HPN1875_S394","DietInt Study1","cat","Female",8.62,4.54,"No","Yes","Hill's","Facility"
"F-50190858-005S_HPN1875_S426","F-50190858-005S_HPN1875_S426","DietInt Study1","cat","Female",8.72,4.55,"No","Yes","Hill's","Facility"
"F-50190860-005S_HPN1875_S402","F-50190860-005S_HPN1875_S402","DietInt Study1","cat","Male",3.21,5.22,"No","Yes","Hill's","Facility"
"F-50190862-005S_HPN1875_S434","F-50190862-005S_HPN1875_S434","DietInt Study1","cat","Male",3.3,5.1,"No","Yes","Hill's","Facility"
"F-50190866-005S_HPN1875_S444","F-50190866-005S_HPN1875_S444","DietInt Study1","cat","Male",6.26,4.78,"No","Yes","Hill's","Facility"
"F-50190868-005S_HPN1875_S419","F-50190868-005S_HPN1875_S419","DietInt Study1","cat","Female",7.04,4.99,"No","Yes","Hill's","Facility"
"F-50190870-005S_HPN1875_S453","F-50190870-005S_HPN1875_S453","DietInt Study1","cat","Female",7.14,5.12,"No","Yes","Hill's","Facility"
"F-50190872-005S_HPN1875_S390","F-50190872-005S_HPN1875_S390","DietInt Study1","cat","Male",10.82,5.56,"No","Yes","Hill's","Facility"
"F-50190874-005S_HPN1875_S422","F-50190874-005S_HPN1875_S422","DietInt Study1","cat","Male",10.92,5.7,"No","Yes","Hill's","Facility"
"F-50190876-005S_HPN1875_S412","F-50190876-005S_HPN1875_S412","DietInt Study1","cat","Male",8.61,5.74,"No","Yes","Hill's","Facility"
"F-50190878-005S_HPN1875_S445","F-50190878-005S_HPN1875_S445","DietInt Study1","cat","Male",8.7,5.83,"No","Yes","Hill's","Facility"
"F-50190884-005S_HPN1875_S413","F-50190884-005S_HPN1875_S413","DietInt Study1","cat","Male",10.78,5.42,"No","Yes","Hill's","Facility"
"F-50190886-005S_HPN1875_S446","F-50190886-005S_HPN1875_S446","DietInt Study1","cat","Male",10.88,5.46,"No","Yes","Hill's","Facility"
"F-50190888-005S_HPN1875_S407","F-50190888-005S_HPN1875_S407","DietInt Study1","cat","Female",11.39,5.27,"No","Yes","Hill's","Facility"
"F-50190890-005S_HPN1875_S439","F-50190890-005S_HPN1875_S439","DietInt Study1","cat","Female",11.48,5.28,"No","Yes","Hill's","Facility"
"F-50190892-005S_HPN1875_S414","F-50190892-005S_HPN1875_S414","DietInt Study1","cat","Male",4.79,6.7,"No","Yes","Hill's","Facility"
"F-50190894-005S_HPN1875_S448","F-50190894-005S_HPN1875_S448","DietInt Study1","cat","Male",4.88,6.64,"No","Yes","Hill's","Facility"
"F-50190896-005S_HPN1875_S415","F-50190896-005S_HPN1875_S415","DietInt Study1","cat","Female",11.38,4.76,"No","Yes","Hill's","Facility"
"F-50190898-005S_HPN1875_S449","F-50190898-005S_HPN1875_S449","DietInt Study1","cat","Female",11.48,4.73,"Yes","Yes","Hill's","Facility"
"F-50190900-005S_HPN1875_S416","F-50190900-005S_HPN1875_S416","DietInt Study1","cat","Female",10.73,4.74,"No","Yes","Hill's","Facility"
"F-50190902-005S_HPN1875_S450","F-50190902-005S_HPN1875_S450","DietInt Study1","cat","Female",10.82,4.87,"No","Yes","Hill's","Facility"
"F-50190906-005S_HPN1875_S432","F-50190906-005S_HPN1875_S432","DietInt Study1","cat","Male",6.61,5.69,"No","Yes","Hill's","Facility"
"F-50190908-005S_HPN1875_S399","F-50190908-005S_HPN1875_S399","DietInt Study1","cat","Female",8.61,5.21,"No","Yes","Hill's","Facility"
"F-50190912-005S_HPN1875_S400","F-50190912-005S_HPN1875_S400","DietInt Study1","cat","Male",4.78,5.69,"No","Yes","Hill's","Facility"
"F-50190916-005S_HPN1875_S410","F-50190916-005S_HPN1875_S410","DietInt Study1","cat","Male",6.18,6.06,"No","Yes","Hill's","Facility"
"F-50190918-005S_HPN1875_S442","F-50190918-005S_HPN1875_S442","DietInt Study1","cat","Male",6.28,6.11,"No","Yes","Hill's","Facility"
"F-50190922-005S_HPN1875_S447","F-50190922-005S_HPN1875_S447","DietInt Study1","cat","Female",6.63,5.28,"No","Yes","Hill's","Facility"
"F-50190924-005S_HPN1875_S418","F-50190924-005S_HPN1875_S418","DietInt Study1","cat","Male",13.11,4.6,"No","Yes","Hill's","Facility"
"F-50190926-005S_HPN1875_S452","F-50190926-005S_HPN1875_S452","DietInt Study1","cat","Male",13.2,4.75,"No","Yes","Hill's","Facility"
"F-50190928-005S_HPN1875_S398","F-50190928-005S_HPN1875_S398","DietInt Study1","cat","Male",7.15,6.14,"No","Yes","Hill's","Facility"
"F-50190930-005S_HPN1875_S431","F-50190930-005S_HPN1875_S431","DietInt Study1","cat","Male",7.25,6.11,"No","Yes","Hill's","Facility"
"F-50190932-005S_HPN1875_S389","F-50190932-005S_HPN1875_S389","DietInt Study1","cat","Female",8.87,5.63,"No","Yes","Hill's","Facility"
"F-50190938-005S_HPN1875_S421","F-50190938-005S_HPN1875_S421","DietInt Study1","cat","Female",8.71,5.25,"No","Yes","Hill's","Facility"
"F-50190940-005S_HPN1875_S397","F-50190940-005S_HPN1875_S397","DietInt Study1","cat","Male",8.73,6.26,"No","Yes","Hill's","Facility"
"F-50190942-005S_HPN1875_S430","F-50190942-005S_HPN1875_S430","DietInt Study1","cat","Male",8.82,6.2,"No","Yes","Hill's","Facility"
"F-50190948-005S_HPN1875_S417","F-50190948-005S_HPN1875_S417","DietInt Study1","cat","Male",10.55,5.37,"No","Yes","Hill's","Facility"
"F-50190950-005S_HPN1875_S451","F-50190950-005S_HPN1875_S451","DietInt Study1","cat","Male",10.65,5.45,"No","Yes","Hill's","Facility"
"F-50190952-005S_HPN1875_S395","F-50190952-005S_HPN1875_S395","DietInt Study1","cat","Male",11.4,5.91,"No","Yes","Hill's","Facility"
"F-50190954-005S_HPN1875_S427","F-50190954-005S_HPN1875_S427","DietInt Study1","cat","Male",11.49,6.09,"No","Yes","Hill's","Facility"
"F-50190956-005S_HPN1875_S392","F-50190956-005S_HPN1875_S392","DietInt Study1","cat","Female",10.71,3.75,"No","Yes","Hill's","Facility"
"F-50190958-005S_HPN1875_S424","F-50190958-005S_HPN1875_S424","DietInt Study1","cat","Female",10.8,3.5,"No","Yes","Hill's","Facility"
"F-50190960-005S_HPN1875_S396","F-50190960-005S_HPN1875_S396","DietInt Study1","cat","Male",13.1,5.3,"No","Yes","Hill's","Facility"
"F-50190962-005S_HPN1875_S428","F-50190962-005S_HPN1875_S428","DietInt Study1","cat","Male",13.2,5.3,"No","Yes","Hill's","Facility"
"F-50190964-005S_HPN1875_S401","F-50190964-005S_HPN1875_S401","DietInt Study1","cat","Female",8.79,4.79,"No","Yes","Hill's","Facility"
"F-50190966-005S_HPN1875_S433","F-50190966-005S_HPN1875_S433","DietInt Study1","cat","Female",8.88,4.83,"No","Yes","Hill's","Facility"
"F-50190968-005S_HPN1875_S388","F-50190968-005S_HPN1875_S388","DietInt Study1","cat","Male",8.73,5.28,"No","Yes","Hill's","Facility"
"F-50190970-005S_HPN1875_S420","F-50190970-005S_HPN1875_S420","DietInt Study1","cat","Male",8.83,5.38,"No","Yes","Hill's","Facility"
"F-50190973-005S_HPN1875_S378","F-50190973-005S_HPN1875_S378","DietInt Study1","cat","Female",8.82,4.3,"No","No","Hill's","Facility"
"F-50190977-005S_HPN1875_S370","F-50190977-005S_HPN1875_S370","DietInt Study1","cat","Male",5.87,5.32,"No","No","Hill's","Facility"
"F-50190981-005S_HPN1875_S355","F-50190981-005S_HPN1875_S355","DietInt Study1","cat","Female",4.34,4.31,"No","Yes","Hill's","Facility"
"F-50190983-005S_HPN1875_S391","F-50190983-005S_HPN1875_S391","DietInt Study1","cat","Female",13.11,4.67,"No","Yes","Hill's","Facility"
"F-50190985-005S_HPN1875_S423","F-50190985-005S_HPN1875_S423","DietInt Study1","cat","Female",13.2,4.79,"No","Yes","Hill's","Facility"
