clade_name	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A26_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A37_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A70_04_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	0.0032	0.00732	0	0.0132	0.03348	0	0	0	0	0.00724	0.01585	0	0.02027	0.00295	0.00087	0.00278	0.00889	0	0.0138	0	0.04778	0.00131	0	0.01969	0	0	0	0	0.02321	0.0068	0	0.01122	0.00556	0.01228	0	0.00348	0.01446	0	0.00037	0.01016	0.02746	0.00442	0.00093	0.05596	0.0603	0	0.00722	0.01152	0	0.00895	0	0	0.01554	0	0	0.00753	0	0.00602	0.00832	0	0	0.00627	0	0	0.00109	0	0.00247	0.00896	0.00848	0	0.00034	0	0	0	0	0.00031	0.00083	0.04786	0.00147	0	0.10321	0.00653	0.00035	0.01273	0.01277	0.00339	0.00169	0.0097	0.01947	0.0006	0.01701	0	0.00278	0	0.00389	0.04094	0.00661	0	0	0	0	0.01313	0.00405	0	0.00406	0.00165	0	0	0	0	0	0	0	0.00493	0.00583
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	0.00285	0	0	0	0	0	0	0.06234	0.09968	0	0.00061	0	0.10878	0	0.00036	0	0	0	0.10706	0	0.05989	0	0	0.03602	0.00169	0	0	0	0	0.00511	0.05427	0.63724	0.09917	0.0292	0	0.267	0	0	0.08425	0	0	0.00361	0	0.02141	0.15942	0.39424	0	0.04578	0.09605	0	0.01988	0	0	0	0.07601	0.00201	0	0.37741	0.87924	0	0.0216	0	0	0	0	0	0.10903	0	0	0.07626	0	0	0	0	0	0.00093	0.02103	1.22825	0.23949	0.03779	0.00429	0.01599	0.03108	0.01948	1.3825	0.31225	0.07549	0.02341	0.8043	0	0.26427	0.04017	0.09538	0.01195	0.05012	0.08332	0	0.15432	0.22247	0.09913	0.37112	0.03464	0.13225	0.25369	0.00099	0	0	0.41899	0.01951	0	0.13756	0	0.68699	0.04919	0
k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911	0.00285	0	0	0.01224	0.00416	0	0	0.00371	0.05854	0	0	0	0.01703	0	0	0.00124	0	0	0	0	0	0	0	0	0.00199	0	0	0	0.00453	0.13553	0	0.00776	0	0	0	0.01121	0	0	0	0.00056	0	0.01869	0	0	0	0.002	0	0	0.01184	0	0.00202	0	0	0	0.00849	0	0	0	0.01852	0	0	0	0	0	0.00969	0	0	0	0.0032	0	0.00584	0	0	0.0045	0.01727	0.00706	0.01116	0.00524	0.00347	0.00015	0	0.01281	0	0.00057	0.00852	0.00639	0	0.00677	0.02106	0	0.0027	0	0.00061	0.00592	0	0	0.04109	0.01809	0	0	0.00024	0	0	0	0.00201	0.00258	0	0	0	0	0	0	0.01227	0.00521	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.00212	0	0	0.0003	0	0	0	0	0.02028	0	0.00338	0	0	0	0.00537	0.00118	0	0	0	0	0	0	0	0.00087	0	0	0	0	0	0.01607	0	0.00581	0	0	0	0	0	0	0.08315	0.00355	0	0	0	0.28487	0.00238	0	0	0.01904	0.00024	0	0	0.01988	0	0	0.00738	0	0	0.00282	0	0	0	0	0	0	0	0	0	0	0	0	0.00804	0	0	0	0.20474	0	0.0212	0.00823	0	0.01677	0	0.02066	0	0.01208	0.00173	0.00494	0	0.01578	0.15842	0	0.11508	0	0	0	0.01046	0	0	0	0.00635	0.34822	0.00766	0	0	0	0	0	0	0.00038	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae|c__CFGB2345|o__OFGB2345	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__CFGB343|o__OFGB343|f__FGB343	26.42158	0.597	0	1.10287	0	0	0.87279	0.03881	0	0	2.66905	0	0	0.00804	0.54988	0.00064	0	0.81302	0.20621	0	0.69573	22.01558	18.1545	0	0.03318	12.52172	0	0	0.73021	0.36894	0	0	0.00148	0	7.8762	1.2915	0	0	0	8.71793	0	0	0	8.72551	0	0	0.00875	0	0.06288	0	0.14789	0	4.57585	6.34662	0	0	0	12.40926	0	0	51.68385	0.00396	0	0.48971	0.48618	0	0.00622	0	37.46177	0.05857	6.7455	0	0	0	2.97719	0	0.23184	0.00714	0	6.41739	0	0	0.9668	0.41898	1.1664	3.40471	0	6.73319	0.00424	0	0.00247	0	2.3351	0	0.01788	0	0	0	0	0.00491	5.02	0.75834	0	0	0.02358	0.41319	0	0.02725	1.23083	0	0.06591	0.78887	3.1258	2.43483	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	14.21101	12.73913	13.89104	29.45421	50.01534	13.04113	80.72343	7.81776	3.16695	8.87543	2.38412	5.55517	11.6052	3.82097	12.89668	38.539	6.83454	3.67234	6.52334	42.46245	17.5267	28.20097	19.70345	4.25849	10.20798	28.58237	39.37915	0	12.68488	5.8473	6.11348	8.62751	38.12815	1.15169	69.51909	20.10517	40.3795	0	3.79362	6.8335	4.50637	7.92166	23.56487	9.15554	35.92876	5.51172	42.03368	48.17361	1.13326	2.81422	1.1374	17.08826	8.10145	66.97669	10.53815	29.04487	0.00201	2.64523	13.40936	1.13029	7.83371	15.28078	15.66414	9.08224	12.78437	1.44781	0.3665	4.62269	12.79331	37.94291	31.75248	0	39.94164	38.98432	14.74256	8.90455	19.59444	1.73209	14.09706	17.27066	1.36005	1.80606	32.70789	0.61014	17.05203	11.43715	11.96407	10.69178	7.90425	36.1205	3.0163	4.20125	48.96068	28.80055	26.66145	10.75404	4.70556	5.00633	8.43989	4.4584	45.58954	2.44026	35.28973	7.82101	22.52395	36.54959	0.34549	4.74508	21.77525	6.54574	23.45411	6.07857	22.48122	3.57942	21.42243
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	8.11979	0.14386	0.1743	0.35991	0.0684	0.26187	0	4.90412	0.01117	0.52971	0.23427	0.06334	0.04852	0	3.25757	0.15601	2.3564	0.09312	0.29389	0.82238	0.33422	0.18335	0.9453	0.69145	0.07687	0	0.032	0	2.90221	2.70973	2.65574	0.21379	0.10845	1.19213	0.06536	0.88659	0.08288	0	3.04044	0.11188	0.46834	0.50877	0.25775	0.58483	0	3.09736	0.01255	0.24916	0.25002	0.01241	0.82827	0.08851	0.18812	0.02807	0.07162	0.95164	0.27327	1.26887	0.1116	5.06821	0.42986	0.6324	0.5585	0.2901	3.71124	14.63922	0.54591	0.26403	0.16503	0.05269	0.14574	0	0	0.18568	0.12762	1.51587	3.63602	0.62254	0.02757	0.02612	1.06997	7.76643	0.11433	0.32614	0.03896	0.03649	1.55456	0.02564	0.98091	0	2.37129	0.38123	0.00808	0.01192	0.01132	0.4643	0.17986	0.3755	0.30548	0.34939	0.04619	1.26733	0.18831	0.57489	12.26611	0.11438	2.87327	0.05442	1.40829	0.66255	0.35354	0.64535	0.66669	3.11722	0.3868
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	7.66934	3.26273	1.58781	0.47167	0.9672	2.35227	0	0.64521	0.52454	6.08591	0.41649	0.10051	0.38434	6.10965	6.77821	1.66793	1.21084	0.00097	1.02006	4.76148	0.56768	0.35289	0.02562	0.94988	1.57481	0.03804	0.03325	0	1.7994	1.84074	9.58465	0.24306	0.23505	0.32479	0.04095	2.3349	0.34795	0	3.2088	0.28424	0.38806	1.31298	0.50487	1.79428	0.01844	6.96946	0.09769	0.56874	0.39005	0.18052	2.31752	0.06747	0.2893	0.02262	0.15197	1.11716	0.79066	2.33501	0.22569	0.12848	0.89015	2.30581	3.0893	1.33219	4.58809	0.70054	4.21069	0.86894	0.23152	0.24678	0.5824	0	0.35846	0.41557	0.8413	0.93022	0.86045	2.30239	3.25866	0.23867	1.20241	11.10681	1.28465	1.02416	0.1709	0.09302	5.09787	0.13719	0.52274	0.5425	5.40917	3.99906	0.09254	0.04016	0.1645	3.35367	2.90361	0.29289	0.18954	0.04419	0.70816	2.08933	1.52025	1.04473	1.30367	0.86171	6.05322	0.25331	0.7165	1.36235	2.12133	0.73327	0.03333	0.06951	1.5275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	6.5545	0.82978	3.2714	5.18257	9.59435	21.55357	7.5054	24.3067	7.94069	6.97177	3.38788	0.72491	7.95892	10.7133	6.39289	10.14733	15.92572	66.17807	1.8766	6.01263	7.43324	14.01169	32.80228	6.85861	19.24274	9.34091	22.91995	0	18.34401	10.78809	22.0549	18.7258	28.11792	2.74218	8.99472	6.97134	15.77783	0	12.59413	5.40969	3.2523	28.28283	12.97823	3.5351	7.58041	8.35265	17.89907	9.40993	19.19787	1.52587	6.62003	10.95778	4.50053	13.6956	52.49909	17.78578	12.45327	2.3948	22.56431	28.79176	1.50386	13.04326	12.66891	5.33026	13.57756	14.97677	5.57186	25.92127	18.02052	23.05522	4.86747	0	19.45949	7.20818	19.23515	7.53189	22.98654	5.15998	23.14848	7.55172	3.58968	8.39253	10.73651	2.40284	14.52959	28.21684	24.56948	32.27013	10.70761	21.23254	5.38386	2.53264	4.16078	23.20778	8.86464	29.31081	4.00004	16.01904	11.07072	4.32038	20.72597	5.49863	20.04729	29.07372	13.48517	9.72175	1.59441	19.40958	15.59872	14.36649	6.86918	4.4557	15.64212	9.2979	20.93979
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	5.61745	5.60467	0.58145	3.20478	1.36756	6.11791	0	0.10154	1.95763	9.56324	28.87723	0.27871	0.22325	1.01394	1.28302	19.06415	13.88203	0.81062	17.3431	14.93387	30.24869	16.56129	1.68578	1.96764	7.91295	0.69618	0.3175	0	0.12266	3.71453	0.37063	0.11529	1.29476	0.24104	0.6542	4.50111	1.46413	0	1.77295	1.37534	67.56636	3.52339	6.38409	0.08591	1.91122	6.03037	0.30061	0.18859	1.86395	2.25052	48.76536	0.5712	25.74912	0.08034	1.60474	6.14412	0.12355	3.60481	0.66039	0.01351	0.27135	0.95902	8.67822	58.47419	36.7154	0.13645	17.79499	7.40695	9.1163	3.89915	0.75076	0	0.19831	1.03024	1.40247	37.69374	0.09283	0.24466	2.68452	1.19256	2.06089	6.71338	0.53868	23.15159	0.09641	0.07693	1.61851	1.64604	0.70479	0.40735	2.63618	0.26176	0.7478	0.03786	3.64154	1.5425	16.52342	0.06034	0.11497	0.08824	0.38333	0.10482	7.6834	1.01809	1.14077	5.55651	6.26114	5.30733	12.91756	1.68665	10.18414	4.28407	0.09927	46.69037	26.08967
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	3.7031	0.06231	0	0.91704	0.50321	1.29497	0	2.32923	0.02005	0.05776	0.02988	0.02612	0.31568	0	0.60671	0.76426	1.82625	0	0.55192	0.53284	0.55069	0.29105	0.29315	0.1301	0.68714	0.01333	0.06048	0	0.2525	1.78577	1.18562	0.02653	0.34595	1.65676	0.01294	0.10298	1.32875	0	0.98929	0.01974	0.25641	0.70365	0.2351	0.20359	0	0.03855	0.03384	0.10097	0.18434	0.05372	0.41378	0.30385	0.37128	0.16739	0.0617	1.19771	0.66767	0.04433	0.09607	0.56577	0.12569	0.31261	0.55575	0.50466	0.80027	1.26444	0.0426	0.35278	0.66167	0.84211	0.05013	0	0.07993	0.36952	0.0191	0.01232	0.68534	0.42107	0.56678	0.20321	6.56893	0.64464	0.28707	0.50955	0.28167	0.06218	0.26526	0.322	0.28292	1.08269	0.26746	0.0817	0.01049	1.03847	0.03219	0.42272	0.11691	0.07516	0	0.02172	0.13194	0.11168	0.56237	0.18911	1.36471	0.41334	0.04298	0.50105	0.98374	0.05967	0.58948	0.21075	0.44702	0.39631	2.04661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	3.62729	0.51687	9.04524	1.9475	4.74983	3.93689	5.99594	14.23863	12.9704	4.87389	0.61039	0.90198	5.10624	0.62608	4.86149	1.21099	1.60579	0.89613	0.57971	2.49358	3.5758	2.44825	12.75498	6.78159	5.36077	23.78739	5.49711	0	6.29398	7.01614	5.99057	10.96044	4.76147	5.66675	6.30531	4.67845	2.5108	0	2.4335	13.3627	1.50028	2.36111	4.93162	5.94426	6.11002	7.9108	6.55559	6.82573	7.71615	0.50502	2.02942	10.66134	1.16841	5.18729	7.35324	5.49716	13.85388	3.3301	11.63726	10.96393	2.16646	3.54958	4.00454	2.68462	1.29423	27.81067	1.17805	8.97429	5.30095	8.83778	6.26957	0	14.34614	2.96368	18.36151	8.46516	11.70457	8.17722	5.82051	10.25239	2.59828	5.57285	7.81467	2.10402	12.20084	13.09614	6.76329	12.60299	16.50712	19.79368	7.81606	1.50362	14.76806	6.65404	24.41356	6.57809	1.42474	7.04594	13.06186	14.36907	13.65353	5.99127	7.82776	10.71249	8.69502	7.93255	1.37929	11.93159	7.45932	8.06495	4.25997	6.58058	6.89627	3.63728	5.24784
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	3.47663	0.99126	2.58402	0.42242	0.57915	2.85365	0	1.04732	0.42348	0.91527	3.45182	0.03614	0.2116	6.35175	8.94103	1.72036	1.22801	0.02524	1.07943	3.30976	0.25064	0.06375	0.05221	3.10686	0.83055	0.49469	0.05123	0	0.46568	4.24141	5.46032	0.56264	0.25329	2.39346	0.30827	1.48744	0.43954	0	4.95774	0.12981	1.98621	0.54466	1.19829	3.77271	0.00487	8.31727	0.17876	0.19914	0.78239	0.16777	0.61019	0.6706	0.71893	0.34601	0.11887	1.30471	0	2.28156	1.15114	0.28246	6.19647	2.79667	1.29428	1.87866	4.33525	0.25743	3.14117	1.06598	0.67829	0.7252	0.70834	0	0.1248	0.44817	0.50537	1.40971	1.18975	3.75049	0.88544	0.07354	7.38028	7.39508	1.32412	1.8341	0.32279	0.09997	0.793	0.44219	0.76869	0.26364	5.70609	2.98771	0.08209	0.7768	0.03899	0.71796	2.0421	0.76691	0.16843	0.06718	0.14556	1.22392	0.91116	1.07047	1.13191	0.89984	0.97351	0.0944	1.30367	5.31109	3.4164	0.40665	0.25231	10.10058	1.19897
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2.8909	0.14656	0.1944	0.15053	0.35735	1.28206	0	0.89145	0.00371	0.14621	0.21695	0.06913	0.05876	1.88751	4.13358	0.27593	0.69143	0	0.44437	3.24301	0.08174	0.27942	0.14782	1.89555	0.15979	0.0106	0.02632	0	1.90322	0.84142	0.18514	0.124	0.13649	0.78412	0.01207	0.29631	1.0989	0	1.88412	0.31294	0.13701	2.25418	0.47064	0.43792	0.01273	12.20882	0.20392	0.31575	0.1419	0.02394	0.44457	0.15259	0.2284	0.00452	0.05712	0.25471	0.30088	2.7764	0.12806	0	0.5614	1.2262	1.30536	0.8186	0.7379	4.43963	0.33148	0.15442	0.64125	0.05973	0.12207	0	0.13964	0.32315	0.23964	1.17242	0.81736	0.42048	0.50038	0.00233	0.20914	3.30898	0.54041	0.27063	0.05447	0.06548	1.35006	0.03035	0.14456	0.00668	0.64216	0.6625	0.02458	0.03646	0.04685	0.50867	1.40342	0.04495	0.02026	0.00102	0.13774	0.79865	0.63079	0.17488	0.98732	0.05271	0.34318	0.15973	0.47244	4.45728	1.84658	0.67814	0.02409	0.65303	0.2722
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2.15552	0.01873	0	0.02084	0.00186	0	0	0.05116	0.23169	0	0.17337	0.00645	0	0.64604	0.24588	0.01073	0	0	0.05288	0	0	0	0	0	0	0.00129	0	0	0	0.10764	0.08693	0.06337	0	0.01388	0	0	0	0	0.0038	0.03461	0	0	0.06309	0.00225	0	0.07102	0	0.27762	0.10167	0.00621	0	0	0	0	0.04447	0	0.00259	0.03823	0	0	0.04436	0.00328	0.12424	0.03707	0.02104	0	0.02165	0.04301	0	0	0.00022	0	0	0.0186	0	0.31627	0	0.20477	0.03031	0.09063	0	0.01233	0	2.75844	0.0131	0	0.00093	0.00989	0	0	0.01373	0.12361	0	3.89629	0	0.07536	0.02442	0.02765	0.00599	0	0	0.04787	0.01306	0.00686	0.06726	1.26135	0.47245	0.14146	0.01928	0.01707	0.15838	2.22419	0.80717	0.00113	0.00733
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629	1.9557	0	0	0.00385	0.12353	0	0	0.06355	0.02588	0.00706	0.00011	0.00127	0.18831	0.0021	0.00126	0	0	0.02736	0	0	0.03142	0	0	0.02488	0.01264	0.02735	0.25611	0	0.64197	0.06248	0	0.20089	0.05331	0.01043	0.29553	0.15803	0.02842	0	0.0202	0.01194	0.00184	0	0	0.00655	1.45892	0.00892	0.13063	0.08223	0	0	0	0.17726	0.04891	0.1491	0.08707	0.01952	0	0	0.41468	0	0	0.04587	0.00619	0	0.01131	2.40657	0	0.23839	0.18262	0.12829	0.86081	0	0	0.01451	0.16365	0.08522	0.14238	0.00415	0.21508	0.14452	0	0.04748	0.00775	0	0	0.25993	0	0.18467	0.10526	1.88225	0.00261	0	0.5651	0.03962	1.09536	0.08428	0.00928	4.39383	0.13496	0.09077	0.2874	0.05168	0.00987	0.29687	0.03247	0.02117	0	0	0.0137	0	0.09009	0.10838	0.11922	0	0.05099
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	1.88826	0.02568	1.35412	0.02017	0	0.00787	0	0.0001	0	0	3.30045	0	0	2.78639	5.73283	0.99835	0.00095	0	0	0.575	0.27451	0.21461	0.16571	0.0004	0.96653	1.28782	0	0	0.22226	3.45375	0.43333	0.00266	0	0	0.30369	0.07537	1.49266	0	0	0.19699	7.47118	0	0.03387	13.62384	0	4.34095	0	0.02736	0	0	0.2315	0	0	0.1141	0	0.0913	0.0492	3.35238	0	0	3.19425	0	0	0.37201	1.64302	0	0	0	0.08414	0.19872	0.01133	0	0	0	0	0.01671	0.01822	0.36303	0	0.00052	0.21616	11.04209	3.07611	0.0014	0	0	0.01023	1.73871	0	0.00157	0.0518	0.00358	0.03192	0	0.05891	0.02764	0.40801	0	0	0	0.05676	0	0	0	1.42078	0.15591	0	0	0.32889	1.94117	0.35288	0	0.41888	2.40612	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1.8459	0.01719	0.02941	0.1325	0.0118	0.08479	0	0.62091	0.01128	0.10562	0.97388	0.00527	1.61921	0.12924	0.55864	0.27064	0.72315	0	0.64101	0.24752	0.02588	0	0.03769	1.28889	0.20542	0	0.03922	0	0.23039	0.29133	0.82612	0.48516	0.05901	1.57991	0.00934	0.4019	0.11448	0	0.04961	0.02173	0.01798	1.66911	0.03163	0.15828	0.13579	0.45751	0.15157	1.65505	0.3716	0	1.18575	0.48672	0.50886	0	0.01101	0.52895	0.05232	0.16562	0.48901	0.87313	1.21935	0.1623	0.39143	0.36291	0.38093	2.21368	0.82348	0.2752	0.02016	0.07104	0.16342	0	0.01324	0.1111	0.05303	1.26446	0.09945	1.74186	0.12233	1.38276	1.35876	3.22561	0.51611	0.41504	0.49928	0.01224	0.20406	0.08307	0.33768	0.01092	0.58575	0.13746	0.00757	0.13759	0.00395	1.56303	0.07417	3.14447	0.25211	0.14804	0.00481	0.37743	0.20359	0.23874	0.489	0.41308	0.03371	0.01291	0.47983	6.44772	0.32638	0.05963	0.09593	0.10305	0.16821
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	1.19078	1.02645	0.26858	3.77215	6.62558	5.37162	0	7.40993	1.20594	3.81063	3.14096	0.12156	1.71687	0.25562	5.95448	0.23105	19.21031	1.66364	3.37071	1.07787	1.66067	2.12312	2.3383	11.41785	0.85392	0.12269	4.731	0	18.71316	1.3971	1.25046	3.78756	1.04969	1.26082	0.64061	0.72298	0.51394	0	2.34172	0.67022	0.65343	1.22315	1.25096	8.86962	4.45586	2.39198	0.88992	2.13616	3.83982	0.43316	1.60878	1.66654	0.21086	0.87517	1.39912	1.58244	10.36983	2.92321	3.51835	1.71351	0.21196	0.24614	4.09542	1.55519	0.71006	2.89285	1.68237	0.35184	0.26369	2.91625	2.36057	0	4.32189	0.88943	2.07334	3.86598	2.48553	1.84644	4.76802	1.52725	0.25256	4.38065	0.45265	1.09102	3.92337	13.06138	3.74279	2.13725	4.1114	2.59408	8.16609	1.77962	9.81645	3.74051	2.73335	2.27951	1.23631	17.79786	0.95797	1.97152	1.18918	5.34865	2.88084	9.44303	1.73002	0.86655	0.25042	0.73864	4.55866	9.01238	0.93861	4.02664	5.67644	0.47472	1.59172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.87949	0.02318	0	0.0306	0.11628	0.81211	0	0.38081	0.12055	0.00047	0	0	0	0	0.03803	0.01314	0	13.76043	0.18659	0	0	0.05426	0.01408	0	0	0.27077	0.00093	0	2.02581	0.13261	0.49353	0.0024	0.01036	0.00995	0.00391	0.20236	0.25306	0	0	13.113	0	0.06586	0.5043	0	0.251	0	0	0.46942	0.46742	0	0.00384	0	0.09305	0	0.00079	0.64445	43.70051	0.31995	0.00885	18.50019	0.1031	0.00024	0	0.01661	0.00443	2.82125	0.00702	1.14201	0.1787	0.011	0.0422	0	1.6336	0	0	0.00243	0.06154	0.03257	0.00277	0.32391	0	0.02674	0	0.19969	0.49341	0.03596	0.12383	0.05258	0.12717	3.01786	0.86073	0	0.09237	0.54019	0.11058	0.11708	0	0.05446	0.00337	3.041	0.05682	0.1789	3.10652	0.03198	0.00218	0.0588	0	0.00636	0	0.00992	0	0.08111	0.14294	0.61723	0.31225
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.80475	0.04052	0.06707	0.60577	0.31285	0.35504	0	0.19088	0.02296	0.02017	3.46556	0.07455	0.13932	0.54451	1.27591	0.41645	0.0678	0	0.28163	0.98547	0.22323	0.04138	0	1.56945	0.16263	0	0	0	0.08157	0.8247	0.75137	0.02707	0	0.62482	0	0.68157	0.59607	0	0.51496	0.00073	0.04552	0.1565	0.06197	0.77153	0	0.58364	0.02533	0.15378	0.00176	0.0327	0.32979	0	0.03317	0	0	0.68006	0.3529	0.18493	0.00864	0.14366	0.5679	0.01976	0.77133	0.67195	1.344	0.03064	0.97318	0.06344	0.00894	0.04961	0.56563	0	0	0.19452	0	0.18834	0.06594	0.38367	0.16004	0.00839	2.3158	0.48508	0.09118	0.06889	0.02733	0.00058	0.02514	0.00323	0.00857	0	8.37419	0.26237	0	0.0003	0	0.52682	0.48026	0.00509	0.01161	0	0	0.14336	0.0146	0.01222	1.32655	1.20639	0.04352	0.04245	0.35312	0.41912	0.78766	0.00709	0.01787	2.34212	0.30686
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.79628	8.60412	2.81821	1.9203	0.92822	0.13551	0	1.28998	0.54309	1.31321	0.43189	0.76346	1.27101	0.72664	1.91335	1.00868	1.50078	0.28888	3.86436	1.35292	0.44515	4.32193	4.15836	2.83377	8.54156	14.53945	0.25808	0	2.9576	0.46823	8.03496	0.32859	7.67073	4.06455	1.18583	9.37239	4.48606	0	0.08912	0.34264	2.62626	0.66884	0.01599	1.05338	0.09915	0.06961	0.97771	6.17766	0.26334	0.67187	2.89187	4.51742	0.01497	0.81816	0.81235	4.03054	3.53773	8.29275	1.05723	5.9495	0.28446	4.28158	2.18741	3.30963	0.67431	2.4776	0.22657	0.21114	3.10858	1.95268	2.06027	0	2.35104	1.25777	0	1.14822	3.2336	5.30334	0.03406	0.10146	4.76912	1.67883	6.00908	0.41248	0.04765	0.20992	0.07413	2.08136	0.28716	0.35774	5.53282	1.00513	0.0661	0.01043	0.03701	0.11606	0.00099	0.69553	0.0884	0.01183	0.33189	2.81451	0.25012	0.68841	1.30692	5.06548	0.25435	1.18251	1.59461	0.13576	13.87821	6.5135	2.73018	1.8645	0.23796
