"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS015578","SRS015578","SRS015578","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041039","SRS1041039","SRS1041039","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1054716","SRS1054716","SRS1054716","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS045826","SRS045826","SRS045826","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS012969","SRS012969","SRS012969","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041090","SRS1041090","SRS1041090","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS049446","SRS049446","SRS049446","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043841","SRS043841","SRS043841","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011134","SRS011134","SRS011134","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019808","SRS019808","SRS019808","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014344","SRS014344","SRS014344","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017745","SRS017745","SRS017745","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041038","SRS1041038","SRS1041038","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS045195","SRS045195","SRS045195","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS063518","SRS063518","SRS063518","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893366","SRS893366","SRS893366","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013800","SRS013800","SRS013800","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016585","SRS016585","SRS016585","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018049","SRS018049","SRS018049","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011529","SRS011529","SRS011529","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014923","SRS014923","SRS014923","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013639","SRS013639","SRS013639","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016954","SRS016954","SRS016954","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019397","SRS019397","SRS019397","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016267","SRS016267","SRS016267","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041129","SRS1041129","SRS1041129","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS062716","SRS062716","SRS062716","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013158","SRS013158","SRS013158","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014683","SRS014683","SRS014683","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS012902","SRS012902","SRS012902","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS055966","SRS055966","SRS055966","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017821","SRS017821","SRS017821","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054905","SRS054905","SRS054905","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016897","SRS016897","SRS016897","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077641","SRS077641","SRS077641","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019968","SRS019968","SRS019968","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS023346","SRS023346","SRS023346","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041032","SRS1041032","SRS1041032","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018732","SRS018732","SRS018732","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041116","SRS1041116","SRS1041116","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017701","SRS017701","SRS017701","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893256","SRS893256","SRS893256","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041130","SRS1041130","SRS1041130","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018313","SRS018313","SRS018313","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS049900","SRS049900","SRS049900","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077127","SRS077127","SRS077127","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019445","SRS019445","SRS019445","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019286","SRS019286","SRS019286","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015264","SRS015264","SRS015264","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077589","SRS077589","SRS077589","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014736","SRS014736","SRS014736","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077454","SRS077454","SRS077454","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054659","SRS054659","SRS054659","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS050941","SRS050941","SRS050941","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041091","SRS1041091","SRS1041091","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018351","SRS018351","SRS018351","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013638","SRS013638","SRS013638","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015579","SRS015579","SRS015579","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014534","SRS014534","SRS014534","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS886701","SRS886701","SRS886701","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018817","SRS018817","SRS018817","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016495","SRS016495","SRS016495","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041092","SRS1041092","SRS1041092","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018836","SRS018836","SRS018836","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015486","SRS015486","SRS015486","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016018","SRS016018","SRS016018","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013965","SRS013965","SRS013965","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS097958","SRS097958","SRS097958","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041093","SRS1041093","SRS1041093","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019693","SRS019693","SRS019693","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014613","SRS014613","SRS014613","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077231","SRS077231","SRS077231","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014412","SRS014412","SRS014412","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017307","SRS017307","SRS017307","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
