"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"Vescimonas_SGB15087_SGB_15087","species","human",1.87089547090887,0.0764970480250429,2989,76,1.08069555321028e-58,5.0965602289397e-57,"dog,facility",3.1853501430873e-57
"Akkermansia_muciniphila_SGB_9226","species","human",2.91155178488243,0.11963266889873,2989,107,1.20316077914119e-58,6.16750677655419e-57,"cat,facility",3.51700799654743e-57
"Clostridium_sp_AF36_4_SGB_4644","species","human",3.83202810829622,0.166594671936653,2989,182,1.31696622745185e-58,6.67829325662681e-57,"cat,facility",3.81812257909606e-57
"Oscillospiraceae_SGB_15019","species","human",1.08529980806814,0.052753721251287,2989,59,2.38617283042077e-58,1.19714798598557e-56,"cat,facility",6.8617018708929e-57
"Lachnospiraceae_SGB_4680","species","cat",3.25909149948072,0.189356099782764,2989,207,3.76578118059712e-58,1.75835881660357e-56,"dog,facility",1.07415871256226e-56
"Veillonella_atypica_SGB_6936","species","human",1.52180272040807,0.062579767254659,2989,75,7.56038834134354e-58,3.49556778605648e-56,"dog,facility",2.13928748506657e-56
"Clostridium_sp_AF20_17LB_SGB_4714","species","human",2.95125382071044,0.136562065209911,2989,154,9.12725844538205e-58,4.17904376974968e-56,"dog,facility",2.5621518350251e-56
"Oscillospiraceae_SGB_15229","species","human",2.68918209230803,0.0793897112031517,2989,122,3.75610377534721e-57,1.70324859659014e-55,"dog,facility",1.04608968924434e-55
"Fusicatenibacter_sp_CLA_AA_H277_SGB_4780","species","human",2.82812178639076,0.172985998855244,2989,163,9.24001650338778e-57,4.53915810728925e-55,"cat,facility",2.5532764353502e-55
"Dubosiella_newyorkensis_SGB_6789","species","cat",-6.58411353295931,0.400579718822579,2989,639,1.70896211557984e-56,7.67568127340431e-55,"dog,facility",4.68573566108984e-55
"Akkermansia_muciniphila_SGB_9228","species","human",1.1554185399034,0.0670728838577708,2989,45,1.87379726787437e-56,8.33663010876937e-55,"dog,facility",5.09816995113204e-55
"Fusobacteriaceae_SGB_6036","species","cat",-13.1063572889563,0.766971926209892,2989,1727,2.00229070358685e-56,8.82504949356598e-55,"dog,facility",5.40618489968449e-55
"Firmicutes_SGB_4367","species","human",2.28822880578854,0.0870968940470245,2989,91,2.71519970166445e-56,1.29342240333834e-54,"cat,facility",7.27550101877815e-55
"Alistipes_sp_AF17_16_SGB_2326","species","human",1.54483058353832,0.0707108598268499,2989,59,5.41250284617871e-56,2.55253634225788e-54,"cat,facility",1.43940019300256e-54
"Collinsella_intestinalis_SGB_14741","species","cat",-14.1292875961295,0.818373476585517,2989,2113,6.71797483805412e-56,2.93351567928363e-54,"dog,facility",1.77324455240279e-54
"Firmicutes_SGB_15273","species","human",2.01148736124331,0.0632300899623041,2989,92,1.51189595655946e-55,6.99029542268081e-54,"cat,facility",3.96116740618579e-54
"Firmicutes_SGB_3940","species","human",1.92493655836135,0.092520996163647,2989,69,5.46934901262498e-55,2.36637155445315e-53,"dog,facility",1.42243290129813e-53
"Clostridiaceae_SGB_4744","species","cat",5.28577303476401,0.335713679283934,2989,413,2.45627078996479e-53,1.05307027686127e-51,"dog,facility",6.34148159423756e-52
"Alistipes_sp_AF17_16_SGB_2326","species","human",1.54616501394973,0.0707170663675876,2989,59,3.38128932518331e-53,1.43659103221302e-51,"dog,facility",8.66639155302418e-52
"Faecalicoccus_pleomorphus_SGB_6791","species","cat",3.34354460550753,0.202524190817776,2989,167,3.7329493528825e-53,1.57183831680302e-51,"dog,facility",9.49887903679525e-52
"Lachnospiraceae_SGB_58537","species","cat",-9.11519072459449,0.530825492406876,2989,1583,6.64734635506902e-53,2.77423764694739e-51,"dog,facility",1.67940457556279e-51
"Firmicutes_SGB_13981","species","human",1.28684323836814,0.0649064604418295,2989,68,9.5593164923698e-53,3.95453829631719e-51,"dog,facility",2.39796471159659e-51
"Caniella_SGB105119_SGB_105119","species","cat",-5.15916705764812,0.324813807850554,2989,602,9.87132282596346e-53,4.04810073454293e-51,"dog,facility",2.45879357996005e-51
"Massilimicrobiota_timonensis_SGB_6768","species","human",1.22972652729692,0.0583593546094227,2989,38,1.07863360041988e-52,4.38520349963807e-51,"dog,facility",2.66792101026931e-51
"Collinsella_phocaeensis_SGB_109036","species","cat",2.97029016120058,0.184769382609028,2989,247,1.65418743990304e-52,6.66764783468608e-51,"dog,facility",4.06309789926184e-51
"Firmicutes_SGB_14252","species","human",1.56805444078385,0.0629998522089776,2989,84,2.44726395538274e-52,1.06863859385046e-50,"cat,facility",5.96963628288879e-51
"Lachnospiraceae_SGB_66068","species","cat",-9.30323579806972,0.57687538498259,2989,1050,6.77043175722829e-52,2.7058776412787e-50,"dog,facility",1.64020665241894e-50
"Parasutterella_SGB9260_SGB_9260","species","cat",-9.65176368890187,0.595611164032361,2989,696,1.05328338988507e-51,4.17418862747729e-50,"dog,facility",2.53432880953979e-50
"Blautia_sp_MCC283_SGB_4828","species","human",1.49826041653854,0.0775032261925025,2989,71,1.09004138026572e-51,4.28386262444427e-50,"dog,facility",2.60505159594585e-50
"Bifidobacterium_animalis_SGB_17278","species","cat",-5.91089632304635,0.371681166333142,2989,751,4.39614625726083e-51,1.71340708671422e-49,"dog,facility",1.04356841019675e-49
"Bacteroidota_SGB_1699","species","human",1.49482730315677,0.0638652118692531,2989,72,7.91407003961891e-51,3.33238877739668e-49,"cat,facility",1.86613771534214e-49
"Lachnospiraceae_SGB_65958","species","cat",-10.8151791924616,0.658480442397978,2989,1758,1.20806338764532e-50,4.66985814437323e-49,"dog,facility",2.82974847821291e-49
"Bacteroidota_SGB_1699","species","human",1.5801070502597,0.0828780005686173,2989,72,1.32373080979618e-50,5.07537764146243e-49,"dog,facility",3.0802867593744e-49
"Eubacterium_sp_AF34_35BH_SGB_5051","species","human",2.14872980037614,0.0708305074168253,2989,106,1.59335961959217e-50,6.05990642419087e-49,"dog,facility",3.68347253235131e-49
"Neisseria_subflava_SGB_9450","species","human",1.33220577699821,0.0610362940146664,2989,63,1.84520925397789e-50,7.63333933487697e-49,"cat,facility",4.23799034501285e-49
"Erysipelotrichaceae_bacterium_7770_A6_SGB_6836","species","cat",5.7508626392159,0.366137084526711,2989,431,1.9302679321644e-50,7.28251485446985e-49,"dog,facility",4.40474688778418e-49
"Selenomonadaceae_SGB_65924","species","cat",-5.74677496486976,0.368155615005956,2989,514,2.29487317280091e-50,8.58938244676912e-49,"dog,facility",5.20318359756206e-49
"Prevotellaceae_SGB_1482","species","cat",-8.4541161971358,0.532864024178757,2989,807,2.59414651127289e-50,9.63306688752987e-49,"dog,facility",5.8442651021479e-49
"Acidaminococcus_timonensis_SGB_5741","species","cat",3.01964593762339,0.195503645464153,2989,104,2.85335163861516e-50,1.05128174435227e-48,"dog,facility",6.387534649229e-49
"Firmicutes_SGB_15413","species","human",1.24033746954518,0.0613112074796057,2989,54,4.41917595147658e-50,1.75133057034988e-48,"cat,facility",9.83058197507714e-49
"Lachnospiraceae_SGB_4817","species","human",2.15026048371328,0.0925785788276088,2989,65,5.15102525121392e-50,2.02435292372707e-48,"cat,facility",1.13869851959648e-48
